Date,XLF
2002-05-15,-0.00481137
2002-05-16,0.01190008
2002-05-17,0.00441035
2002-05-20,-0.01719714
2002-05-21,-0.00930742
2002-05-22,0.00187894
2002-05-23,0.01087758
2002-05-24,-0.00667876
2002-05-28,-0.01045934
2002-05-29,-0.00037766
2002-05-30,-0.00415430
2002-05-31,0.00037921
2002-06-03,-0.01971159
2002-06-04,-0.00657393
2002-06-05,0.00973095
2002-06-06,-0.02158775
2002-06-07,0.00315191
2002-06-10,0.00549875
2002-06-11,-0.01757833
2002-06-12,0.00556717
2002-06-13,-0.02332951
2002-06-14,0.00931138
2002-06-17,0.04492588
2002-06-18,0.00191924
2002-06-19,-0.00957809
2002-06-20,-0.02011600
2002-06-21,-0.01102450
2002-06-24,0.00280652
2002-06-25,-0.00959576
2002-06-26,-0.01897490
2002-06-27,0.02139949
2002-06-28,0.01289281
2002-07-01,-0.02068419
2002-07-02,-0.01380998
2002-07-03,-0.01112037
2002-07-05,0.03831720
2002-07-08,-0.00521394
2002-07-09,-0.02620967
2002-07-10,-0.03188408
2002-07-11,0.01368688
2002-07-12,-0.01476835
2002-07-15,0.00000000
2002-07-16,-0.02012815
2002-07-17,-0.00611941
2002-07-18,-0.03474039
2002-07-19,-0.02141185
2002-07-22,-0.03398533
2002-07-23,-0.05686766
2002-07-24,0.06029659
2002-07-25,-0.00722901
2002-07-26,0.03058208
2002-07-29,0.06688709
2002-07-30,0.00220757
2002-07-31,0.01541853
2002-08-01,-0.02472913
2002-08-02,-0.02535535
2002-08-05,-0.03925168
2002-08-06,0.03277921
2002-08-07,0.01287934
2002-08-08,0.05222537
2002-08-09,0.00863140
2002-08-12,-0.01112504
2002-08-13,-0.02379920
2002-08-14,0.03989362
2002-08-15,0.01236138
2002-08-16,-0.00715817
2002-08-19,0.02544563
2002-08-20,-0.01364776
2002-08-21,0.00209650
2002-08-22,0.01171554
2002-08-23,-0.02109197
2002-08-26,0.01478658
2002-08-27,-0.00915889
2002-08-28,-0.01638650
2002-08-29,0.00085424
2002-08-30,0.00213408
2002-09-03,-0.04897787
2002-09-04,0.01880857
2002-09-05,-0.01494494
2002-09-06,0.01517168
2002-09-09,0.01582446
2002-09-10,-0.00605802
2002-09-11,-0.00565964
2002-09-12,-0.02802106
2002-09-13,0.00765785
2002-09-16,-0.00223510
2002-09-17,-0.02150559
2002-09-18,-0.00824180
2002-09-19,-0.03462638
2002-09-20,-0.00471162
2002-09-23,0.00048309
2002-09-24,-0.01931415
2002-09-25,0.01969453
2002-09-26,0.02897133
2002-09-27,-0.03097107
2002-09-30,0.00096829
2002-10-01,0.04257412
2002-10-02,-0.03990741
2002-10-03,-0.04011625
2002-10-04,-0.02769404
2002-10-07,-0.03158943
2002-10-08,0.03850265
2002-10-09,-0.04222491
2002-10-10,0.05268852
2002-10-11,0.05260464
2002-10-14,0.00727795
2002-10-15,0.07177270
2002-10-16,-0.01797735
2002-10-17,0.02974788
2002-10-18,-0.00088827
2002-10-21,0.01645901
2002-10-22,-0.00919058
2002-10-23,0.00044209
2002-10-24,-0.01810216
2002-10-25,0.02518012
2002-10-28,-0.00263155
2002-10-29,-0.01099433
2002-10-30,0.01111655
